frame,plate_text,confidence,x,y,width,height
15,Qssu,0.7541048526763916,2516,1676,180,60
15,NaIJ NRU,0.7363667488098145,1044,1925,251,78
15,GXIS 0GJ,0.5202759504318237,1471,1346,146,60
30,NuSIVSU,0.7769874334335327,2536,1775,191,56
30,NaiJ NRU,0.763063907623291,995,2058,273,82
30,GXIs 06J,0.6823244094848633,1443,1408,172,63
45,LusI GSU,0.7931700348854065,2570,1886,198,60
45,GXIS OGJ,0.6598109006881714,1411,1479,176,63
60,MIISU,0.798345685005188,2602,2010,210,60
60,GXIs 0GJ,0.7593784332275391,1395,1546,180,63
75,GXis OGJ,0.7435353994369507,1363,1625,191,63
75,NmsitsM,0.7405896186828613,2649,2135,221,48
75,WoI,0.6441799402236938,1425,1216,135,48
90,GXIs OGJ,0.7826746702194214,1333,1723,191,63
90,No Text Detected,0.5970346927642822,1415,1260,138,45
90,Aposeo,0.5580449104309082,2325,1359,195,56
105,GXIS 0G J,0.7769570350646973,1297,1831,202,63
105,Apo5 eQ,0.7192253470420837,2328,1423,210,63
105,nuz,0.621492862701416,1395,1308,150,45
120,AP05 JeQ,0.7505816221237183,2330,1488,183,60
120,Khd5276,0.6945245265960693,1385,1355,138,48
120,Gxis OGJ,0.6760285496711731,1250,1957,206,67
135,LJcV,0.8113038539886475,2625,2081,232,75
135,GXIs 0GJ,0.7695031762123108,1209,2100,236,67
135,Apos JEO,0.7633382081985474,2355,1554,195,63
135,Kh05zIk,0.6269010305404663,1346,1408,150,48
150,uiz,0.7280183434486389,1320,1473,165,52
150,Ap0s Jeo,0.7192866802215576,2370,1629,210,63
165,KosZIK,0.8058045506477356,1290,1541,180,52
165,Apds e0,0.766108512878418,2394,1711,213,63
180,Apos JEo,0.7812508344650269,2426,1809,210,71
180,Ci052,0.6982081532478333,1267,1614,172,48
195,KHISZK,0.7851032614707947,1231,1706,176,52
195,Ap05 JEQ,0.7663583755493164,2454,1918,236,71
210,LSEZK,0.7795121669769287,1185,1801,187,56
210,Apo5 Jbo,0.7395209074020386,2493,2036,270,75
225,Khos Z74,0.7948597073554993,1130,1916,206,60
225,02 Fkd,0.5618723034858704,2559,1672,153,52
240,Khos ZzK,0.8083904981613159,1078,2041,213,63
240,roak,0.6975942254066467,2574,1768,176,56
240,No Text Detected,0.5252028703689575,2576,1344,105,63
255,WR02 FkD,0.749465823173523,2596,1875,198,60
255,No Text Detected,0.42109808325767517,163,772,86,37
255,No Text Detected,0.4152171313762665,2604,1413,101,60
270,[od,0.7817507982254028,2640,2000,210,63
270,FJiAZHY,0.7295864820480347,1235,1882,198,60
270,EYGINBG,0.6827874183654785,2630,1524,146,56
285,FJAZHY,0.7816566228866577,1188,2000,217,63
285,Np5 FK,0.7320674657821655,2696,2133,225,52
285,EYGINBG,0.7119741439819336,2653,1599,168,56
300,FIZHR,0.8090574145317078,1140,2130,232,60
300,EYGinBG,0.7417635917663574,2681,1681,180,56
315,EsiNBG,0.7761030197143555,2713,1777,183,60
330,EGINBG,0.7946988940238953,2750,1888,198,63
345,EGINBG,0.7999274134635925,2788,2011,221,63
360,No Text Detected,0.6292989253997803,2836,2137,213,45
360,Avo8 HVF,0.4842629134654999,1218,1745,157,48
375,VqeHVF,0.7660797834396362,1168,1843,183,56
375,HNI4,0.6806418895721436,2523,1875,157,60
390,[ob HVF,0.7218953371047974,1108,1948,198,56
390,HNAcT,0.6477787494659424,2553,1991,157,60
390,WBKGJ,0.6330781579017639,1301,1455,165,52
405,HNMcDY,0.7905066609382629,2610,2120,210,63
405,Vop HvE,0.7852449417114258,1051,2068,213,56
405,BLEBu5J,0.6857591867446899,2664,1625,168,56
405,NSD,0.5244932174682617,1269,1500,153,52
420,BG6SUSJ,0.7248774170875549,2677,1715,187,56
420,M5koJ,0.5564460158348083,1243,1554,168,56
420,DHY,0.5483908653259277,1475,1308,108,60
435,BG65 USJ,0.8127108812332153,2688,1811,202,60
435,MSKGJ,0.677585244178772,1200,1610,165,56
435,264DXY,0.6497761011123657,1445,1344,138,63
450,[BG65 US_,0.8176099061965942,2698,1925,206,63
450,PKE ADLVF,0.7361067533493042,1413,1381,165,56
450,Ms4kGJ,0.652084469795227,1179,1674,168,56
465,LC6S USJ,0.8245731592178345,2703,2047,217,67
465,NSIkGJ,0.720894455909729,1156,1755,183,52
465,KKB4DHY,0.6996784210205078,1385,1428,168,60
465,No Text Detected,0.4422268271446228,3020,1048,101,41
480,AK64DHV,0.7657675743103027,1357,1473,172,60
480,MSAKG],0.7529760003089905,1138,1835,191,56
480,No Text Detected,0.4842306673526764,3039,1078,116,48
495,MskG],0.7892582416534424,1111,1927,198,60
495,AKBADIV,0.778080403804779,1325,1528,191,56
495,0Z,0.4053505063056946,3095,1117,108,45
510,AKBADMV,0.8003247380256653,1299,1586,191,60
510,MskgJ,0.7646487355232239,1091,2026,210,63
510,No Text Detected,0.4406517446041107,3129,1171,146,48
525,AKEA DHV,0.7648321390151978,1265,1651,198,63
525,NASAKGJ,0.7621706128120422,1068,2131,225,56
